Timestamp,1. What year are you in ,2. What course are you studying,3. Do you prefer studying using online or in person classes,4. Has your experience with the current online platform been enjoyable ,5. What platform would you choose if the school decided not to use Hybeflex,"5.1 If other is chosen, in Question 5, please specify name of platform ","5.2. What makes you enjoy this specific platform, chosen in Question 5, compared to Hybeflex",6. Do you feel that lecturers interact enough with the online students,7. What do you like about the current existing system,8. What do you dislike about the current existing system,9. Do you have any suggestions for the existing system
5/7/2023 16:42:52,Year 3,Bachelor of Information Technology,Online,TRUE,"Teams, Zoom",,Easy to use. Supports large conference like calls.,FALSE,,,
5/7/2023 19:23:31,Year 3,Bachelor of computing,Online,FALSE,"Teams, Zoom",,"It is more user friendly, easier to understand, has a very low chance of down time. ",FALSE,The independence and the accessibility to resources. ,Lecturers not responding to messages because you are not “physically” there so they take so much longer to respond than if you were to ask in person. Inconsistency between classes of the same module. ,"For lecturers not to read off of slides and downloaded documents, rather to use practical methods."
5/7/2023 19:42:14,Year 3,Bachelor of Information Technology,Online,FALSE,slack,slack,Discord but specifically for work environments ,FALSE,Honestly nothing lectures are not fit for online classes but it is what it is my life is easier studying online ,For it to be more engagin higher quality streams and even recordings would be fine then we can watch on our own time and ask lectures questions that they respond to in addition to classes,Online/In person classes should not be at the same time  so lectures focus more on students online and also higher quality of english and better stream qualities 
5/7/2023 19:42:41,Year 3,Bachelor of computing,In person,FALSE,Teams,,"Teams makes sense for the fact that my classes already there, as well ease of use to communicate with my peers and lecturers.",FALSE,It's data-friendly and machine friendly,"With hybeflex we students really have no control and cannot engage as easy , as well a lot technical issues",If hybeflex would work seamlessly with teams in terms of moving our class files without closing and accessing the different apps. 
5/7/2023 19:47:01,Year 3,Bachelor of computing,In person,TRUE,Teams,,It's easier to communicate. I never get a notification from private messages. Hybeflex's UI is just not nice. I have to switch so many tabs to do things. Teams has one screen for everything with a more customizeable meeting setting. ,TRUE,"Concerning what I have seen with other universities, Belgium has a relatively better system than other. ",The news spreading and emails. I mis so many events. I never get emails and teams are sometimes washed with messages in wrong places and sometimes to many messages,
5/7/2023 19:51:19,Year 3,Bachelor of computing,Online,TRUE,Zoom,,Recordings are possible,TRUE,The layout,Occasional bugs,Make recordings public again
5/7/2023 19:53:20,Year 3,Bachelor of computing,In person,FALSE,Discord,,"Less data consumption, easier communication between peers",FALSE,The fact that there are recordings that can be reviewed ,"The nature of it being online forces the lecturer and student to be engaged with each other, however since the students would most likely be in an environment that's not ideal for taking in information. It would be hard to even grab the attention of said students much less make them engage in class, especially if they didn't engage in class when they attended physically .",None that can mitigate the issue I mentioned 
5/7/2023 19:53:28,Year 3,Bachelor of Information Technology,Online,"True, False",Discord,,Its easier to interact between students and the lecture and the resources of the said subject is on the same platform,FALSE,Its plain and simple and does what is needed to be done. ,"The lecture doesn’t notice when online students ask them questions, and has no notification popping up",Make it possible for students to interact with the lectures easier so that they get notified when they are muted or aren’t reading or paying attention to the questions in the online chat
5/7/2023 19:53:33,Year 3,Bachelor of computing,In person,FALSE,Discord,,Hybflex gives a lot of problems that have been solved in the other platforms and there is no reason education that costs what it does should be carried out on a beta application when the people being educated are paying to be taught and not being test subjects for a prototype application that is unreliable. ,FALSE,Nothing ,The very existence of it ,There should be lectures dedicated to only online and not be dual and if the online students do decide to come to campus the infrastructure should be made to accommodate them because at its current state they can not be expected to travel from far only to use ancient PC that can not even handle two windows being open simultaneously 
5/7/2023 19:57:54,Year 3,Bachelor of computing,In person,TRUE,"Teams, Zoom",,More stable and better user experience,"True, False",Saves money,No Campus life,No
